,year_scope,gross_margin
0,2015_1,37774.01536197365
0,2015_2,98547.09577413282
0,2015_3,7752.26946176025
0,2015_scope,10566.395479838164
0,2016_1,40555.81776940929
0,2016_2,113178.70794137493
0,2016_3,12608.07263601935
0,2016_scope,11279.53294379221
0,2017_1,39776.12340102665
0,2017_2,119292.80862161308
0,2017_3,19069.55177221412
0,2017_scope,10697.686931439668
0,2018_1,36400.93981252829
0,2018_2,150939.3039801567
0,2018_3,22850.28141938667
0,2018_scope,10611.798166901339
